query_id	doc_id	rank	score
10605	doc-90d3b26e2f635f51	1	4.84161931
10005	doc-90d3b26e2f635f51	1	4.84161931
10406	doc-406612505a0b0b9f	1	3.74174726
12250	doc-463b3510c3cef8b8	1	5.29867905
10127	doc-be8786dc770dcdda	1	3.46095242
10137	doc-8852092f5a414531	1	3.51368851
11099	doc-d3f2c492d639b3ea	1	5.42329684
10715	doc-2d20028295cdadcd	1	3.93449950
10715	doc-b59612de6e7de22e	2	3.69654413
10715	doc-9e21c3c4005b3045	3	3.05832592
10715	doc-9c8a0a64eefd6ce9	4	2.65141570
10715	doc-5631283746b4487a	5	2.62954935
9875	doc-4d143f69ba4fd62f	1	4.74493279
9875	doc-afb540812c7b668b	2	2.98862755
9875	doc-167395d44df300fe	3	2.82801718
10119	doc-0decdab90027cfdd	1	14.84592656
10201	doc-40e6b0a653dfbab4	1	3.31183295
10524	doc-648bdeb258291f32	1	4.60015542
12761	doc-90d3b26e2f635f51	1	4.84161931
10724	doc-61ab00409dd34401	1	4.87997079
10724	doc-a6d7c36db2b9fc44	2	4.44057734
10242	doc-f7722c0505e959c3	1	5.47371783
12207	doc-4710bbc7d191fa07	1	4.89298625
12207	doc-be8786dc770dcdda	2	4.57682897
12207	doc-ff5908f80fde40b7	3	2.54450999
10265	doc-04b6ab9d23c18151	1	7.68976449
10265	doc-6b145832e4c9fd1c	2	7.01955533
10265	doc-368d585e959425be	3	3.11958560
10265	doc-522e3b5cdc936e76	4	3.06350596
10265	doc-ab73ac43b6251bb7	5	2.95718550
10265	doc-918d9ca1fc30b042	6	2.95718550
10265	doc-2128a4216d980fb0	7	2.63688517
10310	doc-0bdc29a62f6c7fc8	1	4.42366006
10310	doc-2a9d2c0363aab0aa	2	3.35659475
10310	doc-14c0a27f97c18e08	3	2.99779661
10310	doc-04b6ab9d23c18151	4	2.80214636
10310	doc-368d585e959425be	5	2.75085110
10310	doc-6bfce5829aca6187	6	2.25540889
10310	doc-ff5908f80fde40b7	7	1.88719171
10765	doc-406612505a0b0b9f	1	3.74174726
12195	doc-406612505a0b0b9f	1	5.35576605
12195	doc-7e4425fcd0c03820	2	3.80346397
12195	doc-c83d009a3690a72f	3	2.28660266
12195	doc-02f312791c6dac9b	4	1.98170986
12195	doc-8550e39884f7980a	5	1.84058855
12195	doc-afdd1eb8e179b8c0	6	1.79684612
12195	doc-6ec7f5faed90d6f9	7	1.71677163
12195	doc-757c194f020f514e	8	1.69518758
12195	doc-2d20028295cdadcd	9	1.66381028
12195	doc-93a0a9a95b2871d0	10	1.61401879
12195	doc-2128a4216d980fb0	11	1.55806642
12195	doc-5d2bd393f1aa2dd7	12	1.41549053
12195	doc-90d3b26e2f635f51	13	1.41549053
12195	doc-72ba35a72fed92d6	14	1.38638185
12195	doc-555085c66c6745a3	15	1.37227189
12195	doc-d3f9bca9c8f7e038	16	1.35844624
12195	doc-ff5908f80fde40b7	17	1.32789848
12195	doc-9e21c3c4005b3045	18	1.29329642
12195	doc-368d585e959425be	19	1.23410966
12195	doc-522e3b5cdc936e76	20	1.21192453
12195	doc-72bc393db4b63d09	21	1.20112841
12195	doc-64a29d3fe4361bbf	22	1.15980123
12195	doc-036fdbb06c478f12	23	1.14991001
12195	doc-7ae9805397edaaa8	24	1.11197657
12195	doc-60a03530f37caeee	25	1.07646592
12195	doc-62fdebafdfbaeeb7	26	1.01949091
12195	doc-6bfce5829aca6187	27	1.01184027
12195	doc-4d143f69ba4fd62f	28	0.92824909
12195	doc-58f081264fec2480	29	0.90946566
12195	doc-29bb6e3505e8cb1e	30	0.89142733
10699	doc-4d143f69ba4fd62f	1	3.17503269
10300	doc-555085c66c6745a3	1	4.69379196
10646	doc-14c0a27f97c18e08	1	8.64209952
10646	doc-51e242b84d8d95d9	2	5.28552175
10646	doc-befb0d84963f5ab6	3	3.42670879
9791	doc-51e242b84d8d95d9	1	5.28552175
9791	doc-406612505a0b0b9f	2	3.74174726
11290	doc-90d3b26e2f635f51	1	4.84161931
12565	doc-90d3b26e2f635f51	1	4.84161931
12565	doc-6f3c7c5898547879	2	4.62615338
12565	doc-27fa34d8322e71c8	3	3.59767491
12565	doc-6f83e7e8b96cef8e	4	3.18862653
12565	doc-9e21c3c4005b3045	5	2.88277937
12565	doc-dee6223b3990015e	6	2.60764666
12565	doc-5e763a5323f3b22d	7	2.27246231
10390	doc-522e3b5cdc936e76	1	5.94786879
11980	doc-918d9ca1fc30b042	1	4.00146557
10356	doc-491ad0d7a59984bd	1	16.43381812
9955	doc-afdd1eb8e179b8c0	1	4.12507577
9955	doc-6ec7f5faed90d6f9	2	3.94124626
9955	doc-d3f9bca9c8f7e038	3	3.80058322
9955	doc-406612505a0b0b9f	4	3.70535336
9955	doc-757c194f020f514e	5	3.21101703
9955	doc-2d20028295cdadcd	6	3.14118498
9955	doc-4710bbc7d191fa07	7	2.88138151
9955	doc-4d143f69ba4fd62f	8	2.77624802
9955	doc-58f081264fec2480	9	2.72860130
9955	doc-7ae9805397edaaa8	10	2.55279934
9955	doc-78c12b84556bb09d	11	2.52103558
9955	doc-cd78c4b91df10277	12	2.42518685
9955	doc-ff5908f80fde40b7	13	2.42492625
9955	doc-c83d009a3690a72f	14	2.28660266
9955	doc-29bb6e3505e8cb1e	15	2.04647757
9955	doc-8852092f5a414531	16	1.99577317
9955	doc-02f312791c6dac9b	17	1.98170986
9955	doc-be8786dc770dcdda	18	1.97323197
9955	doc-5653d8ebd9c49f5b	19	1.93570096
9955	doc-9b4625f96a64ee0a	20	1.91448909
9955	doc-8550e39884f7980a	21	1.84058855
9955	doc-93a0a9a95b2871d0	22	1.61401879
9955	doc-2128a4216d980fb0	23	1.55806642
9955	doc-5d2bd393f1aa2dd7	24	1.41549053
9955	doc-90d3b26e2f635f51	25	1.41549053
9955	doc-72ba35a72fed92d6	26	1.38638185
9955	doc-555085c66c6745a3	27	1.37227189
9955	doc-9e21c3c4005b3045	28	1.29329642
9955	doc-2a9d2c0363aab0aa	29	1.29168643
9955	doc-b74f824b9bff1f8f	30	1.29168643
9955	doc-368d585e959425be	31	1.23410966
9955	doc-522e3b5cdc936e76	32	1.21192453
9955	doc-72bc393db4b63d09	33	1.20112841
9955	doc-64a29d3fe4361bbf	34	1.15980123
9955	doc-036fdbb06c478f12	35	1.14991001
9955	doc-60a03530f37caeee	36	1.07646592
9955	doc-62fdebafdfbaeeb7	37	1.01949091
9955	doc-6bfce5829aca6187	38	1.01184027
10758	doc-c83d009a3690a72f	1	5.16708606
10758	doc-406612505a0b0b9f	2	3.74174726
9974	doc-46693ff451d479bf	1	4.94545482
9974	doc-befb0d84963f5ab6	2	3.93449950
9974	doc-6ec7f5faed90d6f9	3	2.81529207
9974	doc-64a29d3fe4361bbf	4	2.74264285
9974	doc-7e4425fcd0c03820	5	2.62954935
9974	doc-ff5908f80fde40b7	6	2.00211206
10329	doc-368d585e959425be	1	6.02557920
12516	doc-167395d44df300fe	1	6.63123417
12516	doc-368d585e959425be	2	5.29439815
10521	doc-90d3b26e2f635f51	1	4.84161931
10521	doc-ec51a0bf6e5de09d	2	3.96288837
10521	doc-2242399fb2d0fa30	3	3.81370508
10311	doc-c3f766b0d2f27d98	1	10.28630736
10311	doc-f5841a4f496dbda9	2	3.82694741
10311	doc-4e72fa5c1199271e	3	3.81860888
10311	doc-ab73ac43b6251bb7	4	2.95718550
10311	doc-60a03530f37caeee	5	2.94090707
10311	doc-2d20028295cdadcd	6	2.88216529
12469	doc-406612505a0b0b9f	1	3.74174726
10010	doc-90d3b26e2f635f51	1	4.84161931
10010	doc-64a29d3fe4361bbf	2	3.96704600
10978	doc-2128a4216d980fb0	1	3.56805659
10258	doc-90d3b26e2f635f51	1	4.84161931
9731	doc-b74f824b9bff1f8f	1	8.70076556
9731	doc-2128a4216d980fb0	2	4.65172524
9731	doc-46693ff451d479bf	3	3.95005903
9731	doc-cd78c4b91df10277	4	3.67425972
9731	doc-02f312791c6dac9b	5	2.68824862
9731	doc-9785f9936104288c	6	2.49865983
9731	doc-648bdeb258291f32	7	2.47373692
9731	doc-9e21c3c4005b3045	8	2.37882642
9731	doc-757c194f020f514e	9	2.15179102
9731	doc-036fdbb06c478f12	10	2.11508844
9731	doc-afb540812c7b668b	11	2.01212731
9731	doc-8df0484750f85409	12	2.01212731
12873	doc-46693ff451d479bf	1	4.94545482
12486	doc-406612505a0b0b9f	1	3.74174726
10057	doc-cd78c4b91df10277	1	4.60015542
9869	doc-ab73ac43b6251bb7	1	4.63125591
9869	doc-918d9ca1fc30b042	2	3.19607109
9869	doc-b23378d73e714cb1	3	3.01307329
10055	doc-9b4625f96a64ee0a	1	5.05384175
9999	doc-406612505a0b0b9f	1	3.74174726
10077	doc-9e21c3c4005b3045	1	6.22903914
10077	doc-90d3b26e2f635f51	2	4.84161931
11901	doc-ab73ac43b6251bb7	1	4.00146557
10501	doc-3e7f8b736adab609	1	5.05384175
10501	doc-befb0d84963f5ab6	2	3.89995324
10175	doc-cd78c4b91df10277	1	5.62511941
10175	doc-6f83e7e8b96cef8e	2	4.29924103
11716	doc-5d2bd393f1aa2dd7	1	4.84161931
11716	doc-406612505a0b0b9f	2	3.74174726
10276	doc-61ab00409dd34401	1	4.87997079
10276	doc-a6d7c36db2b9fc44	2	4.44057734
9723	doc-e0b67ba97343829f	1	10.07639797
9723	doc-406612505a0b0b9f	2	3.74174726
11383	doc-78c12b84556bb09d	1	8.30563585
11383	doc-6bfce5829aca6187	2	0.31079686
11383	doc-31869dfad0455f70	3	0.30779779
11383	doc-8b6b6bbffde7d317	4	0.30779779
11383	doc-2242399fb2d0fa30	5	0.30712163
11383	doc-61ab00409dd34401	6	0.30671736
11383	doc-a6d7c36db2b9fc44	7	0.30607729
11383	doc-9c6ffc8c9455b2c9	8	0.29775545
11383	doc-dee6223b3990015e	9	0.29591837
11383	doc-555085c66c6745a3	10	0.29455206
11383	doc-648bdeb258291f32	11	0.29141686
11383	doc-40e6b0a653dfbab4	12	0.29014038
11383	doc-7e4425fcd0c03820	13	0.28889283
11383	doc-ec51a0bf6e5de09d	14	0.28834770
11383	doc-27fa34d8322e71c8	15	0.28662453
11383	doc-8df0484750f85409	16	0.28662453
11383	doc-0bdc29a62f6c7fc8	17	0.28534251
11383	doc-04b6ab9d23c18151	18	0.28095037
11383	doc-0cc75c1cd1e762f0	19	0.28002844
11383	doc-51e242b84d8d95d9	20	0.27849739
11383	doc-522e3b5cdc936e76	21	0.27530029
11383	doc-c01e63b6735fbc8c	22	0.27025036
11383	doc-85d8e85c8c989100	23	0.26630734
11383	doc-4d143f69ba4fd62f	24	0.26383727
11383	doc-5d2bd393f1aa2dd7	25	0.26247772
11383	doc-5631283746b4487a	26	0.26212172
11383	doc-f5841a4f496dbda9	27	0.26060392
11383	doc-afb540812c7b668b	28	0.25963598
11383	doc-29bb6e3505e8cb1e	29	0.25823806
11383	doc-d3f2c492d639b3ea	30	0.25599452
11383	doc-f952d93f49261451	31	0.25362310
11383	doc-cd78c4b91df10277	32	0.25336883
11383	doc-491ad0d7a59984bd	33	0.25162240
11383	doc-8852092f5a414531	34	0.25014723
11383	doc-6717224309415d79	35	0.25014723
11383	doc-b74f824b9bff1f8f	36	0.24565827
11383	doc-afdd1eb8e179b8c0	37	0.24323933
11383	doc-6f3c7c5898547879	38	0.24162930
11383	doc-de9f1a76beddefa5	39	0.23692462
11383	doc-58f081264fec2480	40	0.23212051
11383	doc-918d9ca1fc30b042	41	0.22947780
11383	doc-64a29d3fe4361bbf	42	0.22804426
11383	doc-9c8a0a64eefd6ce9	43	0.22248484
11383	doc-ff5908f80fde40b7	44	0.22177897
11383	doc-93a0a9a95b2871d0	45	0.21848997
11383	doc-f7722c0505e959c3	46	0.21663152
11383	doc-60a03530f37caeee	47	0.21590548
11383	doc-b10e178df21f9d44	48	0.21409056
11383	doc-b59612de6e7de22e	49	0.21160851
11383	doc-2128a4216d980fb0	50	0.21091569
11383	doc-5e763a5323f3b22d	51	0.20732212
11383	doc-0081e300f0c5403c	52	0.20449606
11383	doc-4e72fa5c1199271e	53	0.20449606
11383	doc-c83d009a3690a72f	54	0.20449606
11383	doc-2a9d2c0363aab0aa	55	0.20384896
11383	doc-78b2451976975730	56	0.20223031
11383	doc-7a032428a3e9b53b	57	0.20223031
11383	doc-3e7f8b736adab609	58	0.20001422
11383	doc-263368468342e04f	59	0.19784618
11383	doc-166a17809c28df2f	60	0.19572463
11383	doc-46693ff451d479bf	61	0.19572463
11383	doc-4710bbc7d191fa07	62	0.19364810
11383	doc-6f83e7e8b96cef8e	63	0.19364810
11383	doc-0decdab90027cfdd	64	0.18389307
11383	doc-2603f2774de507c7	65	0.17507373
11383	doc-9e21c3c4005b3045	66	0.17507373
11383	doc-56568b6ac823c4cb	67	0.17017682
11383	doc-309c814d4ba7f736	68	0.17017682
11383	doc-368d585e959425be	69	0.16706161
11383	doc-72bc393db4b63d09	70	0.16259693
11383	doc-f17aaa54c8c1cd07	71	0.16116127
11383	doc-6ec7f5faed90d6f9	72	0.16116127
11383	doc-6b145832e4c9fd1c	73	0.15975074
11383	doc-ab73ac43b6251bb7	74	0.15836468
11383	doc-757c194f020f514e	75	0.15836468
11383	doc-1b890cdbb1fe2f6b	76	0.15700247
11383	doc-036fdbb06c478f12	77	0.15566349
11383	doc-7ae9805397edaaa8	78	0.15052844
11383	doc-b23378d73e714cb1	79	0.14929718
11383	doc-406612505a0b0b9f	80	0.14808589
11383	doc-463b3510c3cef8b8	81	0.14012768
11383	doc-167395d44df300fe	82	0.14012768
11383	doc-62fdebafdfbaeeb7	83	0.13800864
11383	doc-be8786dc770dcdda	84	0.13697297
11383	doc-e0b67ba97343829f	85	0.13107132
10007	doc-46693ff451d479bf	1	4.94545482
11315	doc-02f312791c6dac9b	1	4.41726445
11315	doc-8852092f5a414531	2	3.43328284
11315	doc-6bfce5829aca6187	3	3.39450572
11315	doc-8b6b6bbffde7d317	4	3.32994200
11315	doc-61ab00409dd34401	5	2.45834035
11315	doc-2128a4216d980fb0	6	2.32520578
9720	doc-6ec7f5faed90d6f9	1	5.87213728
9720	doc-befb0d84963f5ab6	2	3.89995324
9859	doc-6717224309415d79	1	5.26841433
9859	doc-406612505a0b0b9f	2	3.74174726
12573	doc-918d9ca1fc30b042	1	5.79831003
10029	doc-5653d8ebd9c49f5b	1	5.10983655
10029	doc-56568b6ac823c4cb	2	4.29992773
10029	doc-406612505a0b0b9f	3	3.74174726
12342	doc-90d3b26e2f635f51	1	4.84161931
10686	doc-62fdebafdfbaeeb7	1	5.23849338
9691	doc-166a17809c28df2f	1	4.94545482
11739	doc-406612505a0b0b9f	1	5.35576605
11739	doc-c83d009a3690a72f	2	2.28660266
11739	doc-02f312791c6dac9b	3	1.98170986
11739	doc-8550e39884f7980a	4	1.84058855
11739	doc-afdd1eb8e179b8c0	5	1.79684612
11739	doc-6ec7f5faed90d6f9	6	1.71677163
11739	doc-757c194f020f514e	7	1.69518758
11739	doc-2d20028295cdadcd	8	1.66381028
11739	doc-93a0a9a95b2871d0	9	1.61401879
11739	doc-2128a4216d980fb0	10	1.55806642
11739	doc-5d2bd393f1aa2dd7	11	1.41549053
11739	doc-90d3b26e2f635f51	12	1.41549053
11739	doc-72ba35a72fed92d6	13	1.38638185
11739	doc-555085c66c6745a3	14	1.37227189
11739	doc-d3f9bca9c8f7e038	15	1.35844624
11739	doc-ff5908f80fde40b7	16	1.32789848
11739	doc-9e21c3c4005b3045	17	1.29329642
11739	doc-368d585e959425be	18	1.23410966
11739	doc-522e3b5cdc936e76	19	1.21192453
11739	doc-72bc393db4b63d09	20	1.20112841
11739	doc-64a29d3fe4361bbf	21	1.15980123
11739	doc-036fdbb06c478f12	22	1.14991001
11739	doc-7ae9805397edaaa8	23	1.11197657
11739	doc-60a03530f37caeee	24	1.07646592
11739	doc-62fdebafdfbaeeb7	25	1.01949091
11739	doc-6bfce5829aca6187	26	1.01184027
11739	doc-4d143f69ba4fd62f	27	0.92824909
11739	doc-58f081264fec2480	28	0.90946566
11739	doc-29bb6e3505e8cb1e	29	0.89142733
10649	doc-ec51a0bf6e5de09d	1	4.51018172
11836	doc-8550e39884f7980a	1	6.29564725
11836	doc-58f081264fec2480	2	4.80212904
11836	doc-406612505a0b0b9f	3	3.74174726
11836	doc-d3f2c492d639b3ea	4	3.65283836
