query_id,native_query,romanized_query,mixed_query,relevant_doc_id,BM25 rank,Dense rank,Hybrid RRF rank,Best weighted fusion rank
10005,ಉಸಿರಾಟದ ವ್ಯವಸ್ಥೆಯಲ್ಲಿ ಅಪಧಮನಿಗಳು ಏನು ಮಾಡುತ್ತವೆ,usiraatada vyavastheyalli apadhamanigalu eenu maaduttave,usiraatada ವ್ಯವಸ್ಥೆಯಲ್ಲಿ apadhamanigalu ಏನು maaduttave,doc-9c8a0a64eefd6ce9,,30,30,30
10029,ಮಾನವ ಕಣ್ಣು ಗ್ರಹಿಸಬಹುದಾದ ಅತಿ ಚಿಕ್ಕ ಕಣದ ಗಾತ್ರ ಎಷ್ಟು,maanava kannu grahisabahudaada ati chikka kanada gaatra eshtu,maanava ಕಣ್ಣು grahisabahudaada ಅತಿ chikka ಕಣದ gaatra ಎಷ್ಟು,doc-5653d8ebd9c49f5b,,14,14,14
10055,ಪೋಷಕರನ್ನು ಅವಲಂಬಿತರಾಗಿ ಹಕ್ಕು ಸಾಧಿಸುವ ಸಮಯ,posakarannu avalambitaragi hakku sadhisuva samaya,posakarannu ಅವಲಂಬಿತರಾಗಿ hakku ಸಾಧಿಸುವ samaya,doc-9b4625f96a64ee0a,,75,75,75
10071,ಶರೀರಶಾಸ್ತ್ರ ಎಂದರೇನು,shariirashaastra emdareenu,shariirashaastra ಎಂದರೇನು,doc-b10e178df21f9d44,,16,16,16
10127,PEI ಯಲ್ಲಿ ಜುಲೈ ತಿಂಗಳಲ್ಲಿ ಸರಾಸರಿ ಉಷ್ಣಾಂಶ ಎಷ್ಟು?,pei yalli julai timgalalli saraasari ushnaamsha eshtu?,pei ಯಲ್ಲಿ julai ತಿಂಗಳಲ್ಲಿ saraasari ಉಷ್ಣಾಂಶ eshtu?,doc-40e6b0a653dfbab4,,92,92,92
10137,ಚಿಕ್ಕ ಮನೆ ನಾನು ಮಾಡ್ಯುಲರ್ ಮನೆಯನ್ನು ಪರಿವರ್ತಿಸಬಹುದೇ,chikka mane naanu maadyular maneyannu parivartisabahudee,chikka ಮನೆ naanu ಮಾಡ್ಯುಲರ್ maneyannu ಪರಿವರ್ತಿಸಬಹುದೇ,doc-0cc75c1cd1e762f0,,25,25,25
10151,ಎಂಎಸ್‌ಜಿ ಅನಾರೋಗ್ಯಕರವಾಗಿರುವುದಕ್ಕೆ ಕಾರಣವೇನು?,emesji anaaroogyakaravaagiruvudakke kaaranaveenu?,emesji ಅನಾರೋಗ್ಯಕರವಾಗಿರುವುದಕ್ಕೆ kaaranaveenu?,doc-de9f1a76beddefa5,,31,31,31
10242,ಸರ್ಪೆಂಟೈನ್ ಮಣ್ಣು ಎಂದರೇನು?,sarpemtain mannu emdareenu?,sarpemtain ಮಣ್ಣು emdareenu?,doc-f7722c0505e959c3,,33,33,33
10253,ದೈತ್ಯ ಚಿಟ್ಟೆಗಳು ಎಲ್ಲಿಂದ ಬಂದವು?,daitya chittegalu ellimda bamdavu?,daitya ಚಿಟ್ಟೆಗಳು ellimda ಬಂದವು?,doc-2603f2774de507c7,,29,29,29
10276,ಹೊಟ್ಟೆಯು ಆಹಾರವನ್ನು ಜೀರ್ಣಿಸುತ್ತದೆಯೇ?,hotteyu aahaaravannu jiirnisuttadeyee?,hotteyu ಆಹಾರವನ್ನು jiirnisuttadeyee?,doc-a6d7c36db2b9fc44,,41,41,41
10300,ಲ್ಯಾಕ್ಟೇಸ್ ಎಲ್ಲಿಂದ ಬರುತ್ತದೆ,lyaaktees ellimda baruttade,lyaaktees ಎಲ್ಲಿಂದ baruttade,doc-5d2bd393f1aa2dd7,,16,16,16
10310,ವಿರಾಮ ಮುಂಚೆ ಕೆಲಸ ಮಾಡಲು ಅನುಮತಿಸಲಾದ ಗರಿಷ್ಠ ಗಂಟೆಗಳು,viraama mumche kelasa maadalu anumatisalaada garishtha gamtegalu,viraama ಮುಂಚೆ kelasa ಮಾಡಲು anumatisalaada ಗರಿಷ್ಠ gamtegalu,doc-0bdc29a62f6c7fc8,,64,64,64
10311,ಪಾಪುವಾ ನ್ಯೂ ಗಿನಿಯ ಮೂಲ ಎಲ್ಲಿದೆ?,paapuvaa nyuu giniya muula ellide?,paapuvaa ನ್ಯೂ giniya ಮೂಲ ellide?,doc-c3f766b0d2f27d98,,27,27,27
10329,ನ್ಯೂ ಜೆರ್ಸಿಯಲ್ಲಿ ರಿಕವರಿ ಕೋಚ್ ಎಷ್ಟು ಸಂಪಾದಿಸಬಹುದು,nyuu jersiyalli rikavari kooch eshtu sampaadisabahudu,nyuu ಜೆರ್ಸಿಯಲ್ಲಿ rikavari ಕೋಚ್ eshtu ಸಂಪಾದಿಸಬಹುದು,doc-368d585e959425be,,21,21,21
10356,ಯಾವ ಸರ್ಕಾರದ ಶಾಖೆಯು ಕಾನೂನುಗಳನ್ನು ವ್ಯಾಖ್ಯಾನಿಸುವ ಜವಾಬ್ದಾರಿಯನ್ನು ಹೊಂದಿದೆ,yaava sarkaarada shaakheyu kaanuunugalannu vyaakhyaanisuva javaabdaariyannu homdide,yaava ಸರ್ಕಾರದ shaakheyu ಕಾನೂನುಗಳನ್ನು vyaakhyaanisuva ಜವಾಬ್ದಾರಿಯನ್ನು homdide,doc-491ad0d7a59984bd,,99,99,99
