query_id,native_query,romanized_query,mixed_query
10605,ಹೂವಿನ ಸಸ್ಯದಲ್ಲಿ ಎಪಿಡರ್ಮಿಸ್ ಏನು ಮಾಡುತ್ತದೆ,huuvina sasyadalli epidarmis eenu maaduttade,huuvina ಸಸ್ಯದಲ್ಲಿ epidarmis ಏನು maaduttade
10005,ಉಸಿರಾಟದ ವ್ಯವಸ್ಥೆಯಲ್ಲಿ ಅಪಧಮನಿಗಳು ಏನು ಮಾಡುತ್ತವೆ,usiraatada vyavastheyalli apadhamanigalu eenu maaduttave,usiraatada ವ್ಯವಸ್ಥೆಯಲ್ಲಿ apadhamanigalu ಏನು maaduttave
10406,ಶೋಟೈಮ್ ರೋಟಿಸೆರಿಯಲ್ಲಿ ಹಂದಿ ಮಾಂಸದ ಚಾಪ್‌ಗಳನ್ನು ಎಷ್ಟು ಸಮಯ ಬೇಯಿಸಬೇಕು,shootaim rootiseriyalli hamdi maamsada chaapgalannu eshtu samaya beeyisabeeku,shootaim ರೋಟಿಸೆರಿಯಲ್ಲಿ hamdi ಮಾಂಸದ chaapgalannu ಎಷ್ಟು samaya ಬೇಯಿಸಬೇಕು
12250,ದ್ವೀಪಗಳಲ್ಲಿ ಹೇಲಿಯಾಕಲಾ ಎಲ್ಲಿದೆ,dviipagalalli heeliyaakalaa ellide,dviipagalalli ಹೇಲಿಯಾಕಲಾ ellide
10127,PEI ಯಲ್ಲಿ ಜುಲೈ ತಿಂಗಳಲ್ಲಿ ಸರಾಸರಿ ಉಷ್ಣಾಂಶ ಎಷ್ಟು?,pei yalli julai timgalalli saraasari ushnaamsha eshtu?,pei ಯಲ್ಲಿ julai ತಿಂಗಳಲ್ಲಿ saraasari ಉಷ್ಣಾಂಶ eshtu?
10137,ಚಿಕ್ಕ ಮನೆ ನಾನು ಮಾಡ್ಯುಲರ್ ಮನೆಯನ್ನು ಪರಿವರ್ತಿಸಬಹುದೇ,chikka mane naanu maadyular maneyannu parivartisabahudee,chikka ಮನೆ naanu ಮಾಡ್ಯುಲರ್ maneyannu ಪರಿವರ್ತಿಸಬಹುದೇ
9724,ಪೂರ್ವ ಕ್ಯಾನ್ಸರ್ ಚರ್ಮ ಕ್ಯಾನ್ಸರ್‌ನ ಪ್ರಕಾರಗಳು,puurva kyaansar charma kyaansarna prakaaragalu,puurva ಕ್ಯಾನ್ಸರ್ charma ಕ್ಯಾನ್ಸರ್‌ನ prakaaragalu
9737,ಸಿಲಿಯಮ್ ಹಸ್ಕ್ ಫೈಬರ್,siliyam hask phaibar,siliyam ಹಸ್ಕ್ phaibar
11099,ಲಾಗ್ ಹೋಮ್‌ಗಳಿಗೆ ಚದರ ಅಡಿಗೆ ಬೆಲೆ,laag hoomgalige chadara adige bele,laag ಹೋಮ್‌ಗಳಿಗೆ chadara ಅಡಿಗೆ bele
10715,ನಿಮ್ಮ ದೇಹದ ಪ್ರಾಥಮಿಕ ಶಕ್ತಿಯ ಮೂಲವಾಗಿರುವ ಕಾರ್ಬೋಹೈಡ್ರೇಟ್‌ಗಳೇನು?,nimma deehada praathamika shaktiya muulavaagiruva kaarboohaidreetgaleenu?,nimma ದೇಹದ praathamika ಶಕ್ತಿಯ muulavaagiruva ಕಾರ್ಬೋಹೈಡ್ರೇಟ್‌ಗಳೇನು?
9875,ಹೋವರ್‌ಬೋರ್ಡ್‌ನ ಬೆಲೆ ಎಷ್ಟು?,hoovarboordna bele eshtu?,hoovarboordna ಬೆಲೆ eshtu?
11809,ಕೊತ್ತಂಬರಿ ಏನಕ್ಕೆ ಉಪಯೋಗವಾಗುತ್ತದೆ,kottambari eenakke upayoogavaaguttade,kottambari ಏನಕ್ಕೆ upayoogavaaguttade
10119,ಜ್ಯಾಕಿ ಚಾನ್ ನಿವ್ವಳ ಮೌಲ್ಯ,jyaki can nivvala maulya,jyaki ಚಾನ್ nivvala ಮೌಲ್ಯ
10201,ಅಲಾಸ್ಕಾದಲ್ಲಿ ಚಳಿಗಾಲದಲ್ಲಿ ಸರಾಸರಿ ತಾಪಮಾನ,alaskadalli caligaladalli sarasari tapamana,alaskadalli ಚಳಿಗಾಲದಲ್ಲಿ sarasari ತಾಪಮಾನ
10524,ಆಲ್ಕೋಹಾಲ್‌ನಿಂದ ಲಿವರ್ ಸಮಸ್ಯೆಗಳ ಲಕ್ಷಣಗಳೇನು?,aalkoohaalnimda livar samasyegala lakshanagaleenu?,aalkoohaalnimda ಲಿವರ್ samasyegala ಲಕ್ಷಣಗಳೇನು?
12761,ಎಮಲ್ಸಿಫೈಯರ್ ಏನು ಮಾಡುತ್ತದೆ,emalsiphaiyar eenu maaduttade,emalsiphaiyar ಏನು maaduttade
