query_id	doc_id	rank	score
10605	doc-90d3b26e2f635f51	1	4.84161931
10605	doc-ec51a0bf6e5de09d	2	3.96288837
10605	doc-29bb6e3505e8cb1e	3	2.67909070
10005	doc-90d3b26e2f635f51	1	4.84161931
10406	doc-6f83e7e8b96cef8e	1	4.29924103
10406	doc-406612505a0b0b9f	2	3.74174726
10406	doc-368d585e959425be	3	3.70898624
12250	doc-463b3510c3cef8b8	1	5.29867905
10127	doc-db59382f2a64667d	1	4.06307969
10127	doc-56692af771d1c18a	2	3.96562641
10127	doc-be8786dc770dcdda	3	3.46095242
10127	doc-8550e39884f7980a	4	3.38548889
10127	doc-5e763a5323f3b22d	5	2.81700363
10127	doc-40e6b0a653dfbab4	6	2.70929517
10127	doc-14c0a27f97c18e08	7	2.47373692
10127	doc-befb0d84963f5ab6	8	2.09720269
10127	doc-2128a4216d980fb0	9	1.91872503
10127	doc-167395d44df300fe	10	1.90399456
10127	doc-8852092f5a414531	11	1.88948855
10137	doc-0cc75c1cd1e762f0	1	11.11509751
10137	doc-58f081264fec2480	2	5.21486203
10137	doc-e0b67ba97343829f	3	3.90532958
10137	doc-90d3b26e2f635f51	4	3.72411139
10137	doc-8852092f5a414531	5	3.51368851
10137	doc-5653d8ebd9c49f5b	6	3.15624086
10137	doc-cd78c4b91df10277	7	2.58310442
10137	doc-f17aaa54c8c1cd07	8	2.51526975
10137	doc-9c8a0a64eefd6ce9	9	2.36885748
10137	doc-406612505a0b0b9f	10	2.31120026
10137	doc-757c194f020f514e	11	2.24692482
10137	doc-befb0d84963f5ab6	12	2.18992306
10137	doc-6bfce5829aca6187	13	1.94341292
10137	doc-2a9d2c0363aab0aa	14	1.91467602
9724	doc-648bdeb258291f32	1	4.60015542
9724	doc-ec51a0bf6e5de09d	2	3.96288837
9724	doc-5e763a5323f3b22d	3	3.48712109
9724	doc-afb540812c7b668b	4	3.28770050
9737	doc-29bb6e3505e8cb1e	1	13.58669739
11099	doc-8852092f5a414531	1	10.45317318
11099	doc-d3f2c492d639b3ea	2	5.42329684
11099	doc-7e4425fcd0c03820	3	4.90953243
11099	doc-4d143f69ba4fd62f	4	4.74493279
11099	doc-afb540812c7b668b	5	2.98862755
11099	doc-167395d44df300fe	6	2.82801718
10715	doc-4710bbc7d191fa07	1	6.99270991
10715	doc-2d20028295cdadcd	2	6.64388413
10715	doc-0081e300f0c5403c	3	6.62346951
10715	doc-9c8a0a64eefd6ce9	4	5.79737398
10715	doc-b59612de6e7de22e	5	3.69654413
10715	doc-be8786dc770dcdda	6	3.16637383
